name,01-06-2021,02-06-2021,03-06-2021,04-06-2021,05-06-2021,06-06-2021,07-06-2021,08-06-2021,09-06-2021,10-06-2021,11-06-2021,12-06-2021,13-06-2021,14-06-2021,15-06-2021,16-06-2021,17-06-2021,18-06-2021,19-06-2021,20-06-2021,21-06-2021,22-06-2021,23-06-2021,24-06-2021,25-06-2021
Susan Lambert,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no
Joshua Stephenson,no,no,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no
Scott Fox,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no
George Cline,no,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,yes,no,no
Corey Fleming DDS,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,no
Kara Allen,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no
Lauren Wagner,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no
Julia Newton,yes,no,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,yes
Ian Hill,no,yes,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no
Regina Blevins,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
Jennifer Reynolds,yes,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no
Jeffrey Lucero,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no
Karen Ruiz,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no
Russell Bailey,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,yes,no,yes,yes,yes,no
Travis Hernandez,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,no
Debra Robertson,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no
Alan Martin,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no
Jeffrey Duke,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no
Angela Rowe,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no
Christopher Flores,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no
Nicholas Ross,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
Jonathan Butler,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,yes,no
Justin Davidson,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,yes,yes,no,no
Christopher Miller,no,no,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,yes,yes,no,no
Mr. William Trevino,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no
Cynthia Scott,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
Sarah Murphy,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no
Barbara Russell,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,no,no
Eric Paul,no,no,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
Diane Stanley,yes,yes,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,yes,no,no
Eric Gonzalez,yes,no,no,yes,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,no
Erica Johnson,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no
John Williams,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,yes,no,no
Emily Brennan,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes
David Baird,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,no
Matthew Rodgers,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no
Joseph Nguyen,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no
Diane Anderson,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,yes,yes,no,no
Joseph Taylor,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no
Justin Richmond,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no
Melissa Singleton,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no
David Ward,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no
Nichole Bishop,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,no,no,yes,yes,no,no
James Duncan,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,yes,no,yes
Benjamin Long,no,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no
Kristen Johnson,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no
Richard Williams,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no
Angela Haas,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no
Mary West,no,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no
Lisa Stevenson,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,no
Susan Wells,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,no,no,yes,yes,yes
Melissa Fernandez,no,no,no,yes,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,no,no,yes,yes,no
Andrew Miller,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,no
Bobby Gonzalez,yes,yes,no,no,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,yes,yes,yes,no
Joseph Harris,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no
Jacob Oneill,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,no,yes,yes,yes,no
Lindsay Oneill,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no
Kimberly Phillips,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,no,no,yes,no,yes
Joshua Richmond,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,yes,no,no
Brandon Nguyen,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no
Michelle Green,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no
Patty Chavez,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no
George Wright,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no
Eric Terry,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no
Nicholas Allen,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no
Christopher Watson,no,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no
George Norman,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,no
Sarah Mccall,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no
Andrea Robles,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no
Virginia Patterson,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no
Morgan Perry DDS,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no
William Richardson,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes
John Roberts,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no
Lisa Rogers,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,no
Heather Avery,no,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no
Carrie Mitchell,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no
Ryan Freeman,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no
Shannon Wilson,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,no
Kevin Gilbert,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no
Jacob Wilson,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no
Scott Callahan,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no
Ronald Vargas,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no
Rodney Myers,yes,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no
Walter Mccoy,no,yes,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,yes,no
Benjamin Haynes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no
Michael Roberts Jr.,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,yes,no,no
Brett Cox,no,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no
Bruce Mason,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no
Elizabeth Holt,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no
Kathleen Jones,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no
Destiny Hunter,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,yes,yes,no
Brian Floyd,yes,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no
Amanda Torres,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no
Matthew Vang,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no
Molly Pace,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,yes,yes,no,yes,yes,no,no
Joshua Boone,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no
Melissa Wilson,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no
Michael Davis,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,yes,yes,no
Shelly Pollard,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no,yes,no,no
Christopher Fisher,yes,no,no,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no
Kenneth Reed,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,yes,yes,no,no
Thomas Hall,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no
Katie Chavez,no,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no
Jennifer Butler,yes,no,no,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,yes,no,no
Brenda Cross,no,yes,no,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no
Elizabeth Marsh,yes,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no
Dennis Walker,yes,no,no,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,yes,no,no
Logan Mckenzie,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no
Elizabeth Mckay,yes,no,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no
Jason Byrd,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no
Jon Henderson,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no
Carolyn Rodriguez,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes
Nicole Buck DDS,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,no,no
Ryan Tate,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no
Phillip Jones,yes,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,yes,no,no
Bradley Porter,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no
Laura Rollins,yes,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,yes,no
Mrs. Kim Downs,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,yes,no
Tara Tucker,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no
Sue Haney,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,no,no
Suzanne Ford,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,no
Jeffrey Henry,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,yes,no
Kevin Martinez,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,yes
Tara Cole,yes,yes,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
Gloria Hancock,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no
Amanda Wright,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,yes,no
Robert Weiss,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,yes,no,yes,no,no
Christine Harmon,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no
Chelsea Escobar,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,yes,no
Leslie Riley,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no
Teresa Nunez,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no
Darlene Arnold,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no
Barbara Sanchez,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,no,yes,no,yes
Zachary Clark,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no
Latoya Harris,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no
Carrie Jimenez,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,yes
Heather Contreras,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no
Ronald Kerr,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no
Larry Sanders,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,no
John Costa,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no
Samantha Bailey,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no
Patrick Atkins,yes,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,yes,yes,no
Justin Ashley,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,no
Scott Wilson,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes
Carlos Wong,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no
Deborah Burns,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no
Dan Morris,no,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,yes
Cory Spence,no,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,no
Jordan Ramos,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,yes
Christopher Campbell,yes,no,no,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,yes,no,no
Danielle Bartlett,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,yes,yes
Alexandria Robbins,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no
Jason Rodriguez,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,no,no
Bobby Casey,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,no
Stephanie Harvey,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no
Caitlin Davis,yes,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,no,yes,no
John Willis,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
Rodney Blake,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,yes,yes,no
Dennis Reyes,yes,no,no,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,yes,yes,yes,no
Christopher Norman,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no
John Cannon,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no
Jason Salazar,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no
Monica Gordon,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no
Bethany Hensley,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no
Jacob Schmitt,no,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no
Mr. Paul Howell,yes,no,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,no
Miguel Rivas,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no
Rachel Perry,yes,yes,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no
Leslie Oconnor,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no
Mark Sims,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no
Sheri Hines,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,yes,no
William Berger,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no
Donna Krause,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no
Keith Hill,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no
Aaron Stokes,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,no,no
Jennifer Chandler,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no
Mark Anderson,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no
Barry Brock,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,yes,no,no
Allison Hammond,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,yes,no
Jorge Todd,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no
Mr. Ryan Ross,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no
Scott Erickson,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,yes,yes,no,yes
Debra Santiago,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,no
Edward Anderson,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no
Misty Torres,no,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no
Jeremy Mcclure,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no
Jessica Patterson,yes,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no
Catherine Jones,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,no
Carol Gallegos,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no
William Armstrong,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,yes,no,no
Daniel Allen,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no
Calvin Mendoza,yes,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,yes,no,no
Miranda Rodriguez,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,no,no,yes,no,no
Jamie Patton,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no
Ryan Fox,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no
Norma Finley,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no
